2026-08-21 17:20:31.488 | h | evento_1
2026-08-21 17:20:32.016 | o | evento_2
2026-08-21 17:20:32.181 | l | evento_3
2026-08-21 17:20:32.293 | a | evento_4
2026-08-21 17:20:32.714 | e | evento_5
2026-08-21 17:20:32.848 | s | evento_6
2026-08-21 17:20:32.970 | t | evento_7
2026-08-21 17:20:33.037 | a | evento_8
2026-08-21 17:20:33.333 | e | evento_9
2026-08-21 17:20:33.477 | s | evento_10
2026-08-21 17:20:34.155 | l | evento_11
2026-08-21 17:20:34.267 | a | evento_12
2026-08-21 17:20:34.411 | p | evento_13
2026-08-21 17:20:34.683 | r | evento_14
2026-08-21 17:20:34.805 | u | evento_15
2026-08-21 17:20:34.885 | e | evento_16
2026-08-21 17:20:35.029 | b | evento_17
2026-08-21 17:20:35.163 | a | evento_18
2026-08-21 17:20:35.691 | 1 | evento_19
2026-08-21 17:20:37.393 | Key.cmd | evento_20
2026-08-21 17:20:37.449 | Key.shift | evento_21
2026-08-21 17:20:37.591 | S | evento_22
2026-08-21 17:20:44.450 | Key.esc | evento_23
